teamname,playername,dateupdated,tweetnum,toptweetsonly,numrtmean,numrtmedian,numfavmean,numfavmedian,polaritymean,polaritymedian,subjectivitymean,subjectivitymedian,approvalmean,approvalmedian
San Jose Sharks,Lean Bergmann,2020-05-26_15_33_51,100,False,1.07,0.0,8.51,1.0,0.054,0.0,0.143,0.0,0.025,0.0
San Jose Sharks,Brent Burns,2020-05-26_15_33_51,100,False,0.16,0.0,2.46,0.5,0.091,0.0,0.292,0.138,0.039,0.0
San Jose Sharks,Logan Couture,2020-05-26_15_33_51,100,False,0.33,0.0,3.68,1.0,0.12,0.0,0.274,0.034,0.045,0.0
San Jose Sharks,Brandon Davidson,2020-05-26_15_33_51,100,False,0.19,0.0,2.58,1.0,0.083,0.0,0.319,0.3,0.022,0.0
San Jose Sharks,Aaron Dell,2020-05-26_15_33_51,100,False,0.37,0.0,3.47,1.0,0.122,0.0,0.22,0.0,0.049,0.0
San Jose Sharks,Nick DeSimone,2020-05-26_15_33_51,100,False,0.57,0.0,3.27,0.0,0.037,0.0,0.16,0.0,0.018,0.0
San Jose Sharks,Mario Ferraro,2020-05-26_15_33_51,100,False,0.22,0.0,2.93,0.0,0.041,0.0,0.102,0.0,0.012,0.0
San Jose Sharks,Dylan Gambrell,2020-05-26_15_33_51,100,False,0.45,0.0,4.48,1.0,0.071,0.0,0.264,0.234,0.031,0.0
San Jose Sharks,Noah Gregor,2020-05-26_15_33_51,100,False,0.73,0.0,8.23,1.0,0.123,0.0,0.276,0.262,0.05,0.0
San Jose Sharks,Tim Heed,2020-05-26_15_33_51,100,False,0.45,0.0,4.86,1.0,0.066,0.0,0.243,0.142,0.023,0.0
San Jose Sharks,Tomas Hertl,2020-05-26_15_33_51,100,False,1.19,0.0,11.86,1.0,0.087,0.0,0.262,0.0,0.033,0.0
San Jose Sharks,Martin Jones,2020-05-26_15_33_51,100,False,0.63,0.0,2.78,1.0,0.095,0.0,0.321,0.333,0.032,0.0
San Jose Sharks,Evander Kane,2020-05-26_15_33_51,100,False,1.18,0.0,9.14,0.0,0.083,0.0,0.372,0.407,0.039,0.0
San Jose Sharks,Erik Karlsson,2020-05-26_15_33_51,100,False,0.5,0.0,5.66,1.0,0.074,0.0,0.283,0.233,0.041,0.0
San Jose Sharks,Melker Karlsson,2020-05-26_15_33_51,100,False,0.89,0.0,10.49,1.0,0.02,0.0,0.278,0.238,0.019,0.0
San Jose Sharks,Joel Kellman,2020-05-26_15_33_51,100,False,1.74,0.0,14.31,1.0,0.06,0.0,0.184,0.0,0.023,0.0
San Jose Sharks,Nikolai Knyzhov,2020-05-26_15_33_51,100,False,2.67,0.0,19.79,2.0,0.098,0.0,0.24,0.0,0.021,0.0
San Jose Sharks,Kevin Labanc,2020-05-26_15_33_51,100,False,0.6,0.0,9.73,1.0,0.098,0.0,0.281,0.233,0.046,0.0
San Jose Sharks,Timo Meier,2020-05-26_15_33_51,100,False,0.15,0.0,2.31,0.5,0.028,0.0,0.266,0.0,0.022,0.0
San Jose Sharks,Jake Middleton,2020-05-26_15_33_51,100,False,0.23,0.0,1.64,0.0,0.11,0.0,0.318,0.38,0.051,0.0
San Jose Sharks,Stefan Noesen,2020-05-26_15_33_51,100,False,1.26,0.0,20.11,1.0,0.094,0.0,0.275,0.0,0.038,0.0
San Jose Sharks,Dalton Prout,2020-05-26_15_33_51,100,False,1.15,0.0,10.19,1.0,0.13,0.0,0.269,0.1,0.051,0.0
San Jose Sharks,Marcus Sorensen,2020-05-26_15_33_51,100,False,1.05,0.0,12.04,1.0,0.079,0.0,0.266,0.2,0.022,0.0
San Jose Sharks,Antti Suomela,2020-05-26_15_33_51,100,False,1.0,0.0,6.6,1.0,0.066,0.0,0.227,0.0,0.015,0.0
San Jose Sharks,Radim Simek,2020-05-26_15_33_51,100,False,0.5,0.0,3.98,0.0,0.065,0.0,0.151,0.0,0.024,0.0
San Jose Sharks,Joe Thornton,2020-05-26_15_33_51,100,False,0.11,0.0,2.91,0.0,0.048,0.0,0.4,0.484,0.013,0.0
San Jose Sharks,Alexander True,2020-05-26_15_33_51,100,False,0.74,0.0,4.1,1.0,0.252,0.277,0.603,0.65,0.095,0.104
San Jose Sharks,Marc-Edouard Vlasic,2020-05-26_15_33_51,100,False,1.48,0.0,15.78,0.0,0.021,0.0,0.212,0.0,-0.006,0.0
